종목코드,종목명,시장구분,매출액,영업이익,경상이익,ROE,시가총액,상장주수,결산월
000020,동화약품,KOSPI,1306,112,81,4.93,1395,27931,12.0
000040,KR모터스,KOSPI,26,-7,194,40.62,230,86375,12.0
000050,경방,KOSPI,1110,178,260,8.01,2269,27415,12.0
000070,삼양홀딩스,KOSPI,8383,292,481,-10.06,4230,7763,12.0
000080,하이트진로,KOSPI,5908,559,506,3.54,10253,70133,12.0
000087,하이트진로2우B,KOSPI,0,0,0,0.0,139,1130,12.0
000100,유한양행,KOSPI,5268,88,288,9.75,55434,79647,12.0
000105,유한양행우,KOSPI,0,0,0,0.0,687,1180,12.0
000120,CJ대한통운,KOSPI,32145,921,554,5.92,16265,22812,12.0
000140,하이트진로홀딩스,KOSPI,5883,557,439,-0.85,1863,23206,12.0
000145,하이트진로홀딩스우,KOSPI,0,0,0,0.0,43,470,12.0
000150,두산,KOSPI,50603,3408,1535,4.93,181856,16193,12.0
000155,두산우,KOSPI,0,0,0,0.0,15686,3996,12.0
000157,두산2우B,KOSPI,0,0,0,0.0,2795,893,12.0
000180,성창기업지주,KOSPI,331,-16,-15,-3.28,708,13950,12.0
000210,DL,KOSPI,12828,1129,83,-1.39,9639,20955,12.0
000215,DL우,KOSPI,0,0,0,0.0,344,1686,12.0
000220,유유제약,KOSPI,355,43,40,7.05,573,15747,12.0
000225,유유제약1우,KOSPI,0,0,0,0.0,80,2266,12.0
000227,유유제약2우B,KOSPI,0,0,0,0.0,26,322,12.0
000230,일동홀딩스,KOSPI,1489,89,65,10.97,685,11540,12.0
000240,한국앤컴퍼니,KOSPI,3784,1217,1376,7.54,23876,94935,12.0
000270,기아,KOSPI,295019,22051,26352,11.9,564537,390412,12.0
000300,DH오토넥스,KOSPI,144,3,2,10.95,1740,41437,12.0
000320,노루홀딩스,KOSPI,2988,162,210,6.76,2111,13291,12.0
000325,노루홀딩스우,KOSPI,0,0,0,0.0,58,243,12.0
000370,한화손해보험,KOSPI,20907,1359,1359,0.0,6479,116738,12.0
000390,SP삼화,KOSPI,1443,18,40,3.64,1599,27203,12.0
000400,롯데손해보험,KOSPI,0,0,0,0.0,6765,310336,12.0
000430,대원강업,KOSPI,4328,233,263,9.68,2176,62000,12.0
000480,CR홀딩스,KOSPI,2057,102,104,-3.32,2168,46890,12.0
000490,대동,KOSPI,3777,60,-53,-6.74,1859,28826,12.0
000500,가온전선,KOSPI,7636,278,223,11.96,29959,16543,12.0
000520,삼일제약,KOSPI,525,-84,-106,-24.71,1351,21691,12.0
000540,흥국화재,KOSPI,33740,1488,1437,9.97,2001,64242,12.0
000545,흥국화재우,KOSPI,0,0,0,0.0,41,768,12.0
000590,CS홀딩스,KOSPI,317,46,110,5.59,780,1154,12.0
000640,동아쏘시오홀딩스,KOSPI,3510,191,195,8.41,5311,6732,12.0
000650,천일고속,KOSPI,447,-53,-42,-25.32,2202,1429,12.0
000660,SK하이닉스,KOSPI,525763,376103,516169,61.16,13085215,712702,12.0
000670,영풍,KOSPI,8511,433,25,-7.82,6195,18410,12.0
000680,LS네트웍스,KOSPI,17048,433,359,-1.81,2198,78803,12.0
000700,유수홀딩스,KOSPI,1063,100,173,3.05,1531,26041,12.0
000720,현대건설,KOSPI,62813,1809,2735,4.95,104451,111355,12.0
000725,현대건설우,KOSPI,0,0,0,0.0,501,1054,12.0
000760,이화산업,KOSPI,111,8,8,-1.11,328,2800,12.0
000810,삼성화재,KOSPI,66763,8611,8577,0.0,275921,44647,12.0
