종목코드,대표자,설립일,주소
000020,"유준하, 윤인호(각자 대표이사)",18970925,서울특별시 중구 서소문로9길 20 -
000040,정재경,19170917,경상남도 창원시 성산구 완암로 28 　
000050,"김준, 김담",19191005,서울특별시 영등포구 영중로 15 (영등포동 4가)
000070,엄태웅,19241001,서울특별시 종로구 종로33길 31
000080,장인섭,19540615,서울특별시 강남구 영동대로 714
000087,,,
000100,대표이사 조욱제,19260620,서울특별시 동작구  노량진로 74
000105,,,
000120,"신영수, 민영학 (각자 대표)",19301115,서울특별시 종로구 종로5길 7(청진동) Tower 8
000140,장인섭,19330809,서울특별시 강남구  영동대로 714
000145,,,
000150,"박정원, 김민철, 유승우",19331208,서울특별시 중구  장충단로 275 두산타원
000155,,,
000157,,,
000180,우인석,19161120,부산광역시 사하구  다대로 627 (다대동)
000210,김종현,19391010,"서울특별시 강서구 공항대로 165 에이동(마곡동, 원그로브)"
000215,,,
000220,"유원상, 박노용(각자대표)",19410228,충청북도 제천시  바이오밸리1로 94
000225,,,
000227,,,
000230,최규환,19410314,서울특별시 서초구  바우뫼로27길 2 일동제약빌딩
000240,"박종호, 김준현(2인, 각자 대표이사)",19410510,경기도 성남시 분당구 판교로 286 -
000270,"송호성, 송민수(각자 대표이사)",19441210,서울특별시 서초구 헌릉로 12 기아자동차
000300,최준용,19671230,전북특별자치도 김제시 용지면 용지로 55 김제(본사)
000320,한영재,19451101,경기도 안양시 만안구  박달로 351
000325,,,
000370,나채범,19460401,서울특별시 영등포구  여의대로 56 한화손해보험(주)
000390,"배맹달,김현정(각자대표)",19460409,경기도 안산시 단원구  별망로 178
000400,이은호,19460520,서울특별시 중구  소월로 3 롯데손해보험빌딩
000430,"박민희, 김항수",19460920,충청남도 천안시 서북구 성거읍 오목모전길 117-8 대원강업주식회사
000480,강문수,19470515,전라남도 광양시 산업로 55 본관 3층
000490,"김준식, 원유현",19470520,대구광역시 달성군 논공읍 논공중앙로34길 35 35
000500,정 현,19470924,경기도 군포시  엘에스로45번길 120
000520,허승범,19471007,"서울특별시 서초구  효령로 155 (방배동, 삼일제약 사옥)"
000540,김대현,19480315,서울특별시 종로구 새문안로 68
000545,,,
000590,장원영,19490112,경상북도 포항시 남구 괴동로 43 (장흥동)
000640,김민영,19490809,서울특별시 동대문구  천호대로 64
000650,박도현,19490930,부산광역시 동구 중앙대로 168(초량동)
000660,곽노정,19491015,경기도 이천시  부발읍 경충대로 2091
000670,김기호,19491125,서울특별시 강남구  강남대로 542
