종목코드,http상태,rt_cd,msg_cd,메시지,종목명
000140,200,0,MCA00000,정상처리 되었습니다.,하이트진로홀딩스
000650,200,0,MCA00000,정상처리 되었습니다.,천일고속
000890,200,0,MCA00000,정상처리 되었습니다.,보해양조
000950,200,0,MCA00000,정상처리 되었습니다.,전방
00104K,200,0,MCA00000,정상처리 되었습니다.,CJ4우(전환)
001060,200,0,MCA00000,정상처리 되었습니다.,JW중외제약
001130,200,0,MCA00000,정상처리 되었습니다.,대한제분
001450,500,1,EGW00201,초당 거래건수를 초과하였습니다.,현대해상
001515,200,0,MCA00000,정상처리 되었습니다.,SK증권우
001820,200,0,MCA00000,정상처리 되었습니다.,삼화콘덴서
002070,200,0,MCA00000,정상처리 되었습니다.,비비안
002170,200,0,MCA00000,정상처리 되었습니다.,SYTS
002210,200,0,MCA00000,정상처리 되었습니다.,동성제약
002760,200,0,MCA00000,정상처리 되었습니다.,보락
002790,500,1,EGW00201,초당 거래건수를 초과하였습니다.,아모레퍼시픽홀딩스
003000,200,0,MCA00000,정상처리 되었습니다.,부광약품
003230,200,0,MCA00000,정상처리 되었습니다.,삼양식품
003480,200,0,MCA00000,정상처리 되었습니다.,한진중공업홀딩스
003495,200,0,MCA00000,정상처리 되었습니다.,대한항공우
003540,200,0,MCA00000,정상처리 되었습니다.,대신증권
