종목코드,종목명,시장구분,매출액,영업이익,경상이익,ROE,시가총액,상장주수,결산월,고유번호,재무제표종류,매출액_당기,매출액_전기,영업이익_당기,영업이익_전기,영업이익_전전기,부채총계,자본총계,유동자산,유동부채,매출액성장률(%),영업이익성장률(%),부채비율(%),유동비율(%),3년연속흑자
000020,동화약품,KOSPI,1306,112,81,4.93,1395,27931,12.0,00119195,CFS,388660153296.0,363797312192.0,6271840710.0,17746658046.0,17048701533.0,185262878943.0,388527092932.0,161587027534.0,161847362834.0,6.83,-64.66,47.68,99.84,True
000040,KR모터스,KOSPI,26,-7,194,40.62,230,86375,12.0,00112378,CFS,13823191334.0,16024969823.0,-2924370754.0,-5500524246.0,-6234269871.0,50841134911.0,43713527804.0,18519208804.0,29021731931.0,-13.74,46.83,116.31,63.81,False
000050,경방,KOSPI,1110,178,260,8.01,2269,27415,12.0,00101628,CFS,267539272770.0,281655078380.0,36711542005.0,30069929870.0,35802156356.0,351068854943.0,829121410431.0,102675659448.0,176420698700.0,-5.01,22.09,42.34,58.2,True
000070,삼양홀딩스,KOSPI,8383,292,481,-10.06,4230,7763,12.0,00126937,CFS,46952079842.0,97572587123.0,-215909985262.0,42347359890.0,51208033752.0,373674733642.0,1854508149622.0,247320665953.0,154324161959.0,-51.88,-609.85,20.15,160.26,False
000080,하이트진로,KOSPI,5908,559,506,3.54,10253,70133,12.0,00150244,CFS,2240431695323.0,2329034671293.0,172346258316.0,201512999874.0,101834028295.0,1924802118657.0,1108611293089.0,774741917061.0,1352868560122.0,-3.8,-14.47,173.62,57.27,True
000087,하이트진로2우B,KOSPI,0,0,0,0.0,139,1130,12.0,,,,,,,,,,,,,,,,
000100,유한양행,KOSPI,5268,88,288,9.75,55434,79647,12.0,00145109,CFS,2105660561260.0,2008355122464.0,110196047503.0,70105856912.0,57206940556.0,475069634553.0,2238767814892.0,1233431879884.0,439833704170.0,4.85,57.19,21.22,280.43,True
000105,유한양행우,KOSPI,0,0,0,0.0,687,1180,12.0,,,,,,,,,,,,,,,,
000120,CJ대한통운,KOSPI,32145,921,554,5.92,16265,22812,12.0,00113410,CFS,8353852873161.0,8366258767136.0,353127836029.0,380094745176.0,330671488073.0,4160243102967.0,3918563115805.0,1489573709765.0,2000921097193.0,-0.15,-7.09,106.17,74.44,True
000140,하이트진로홀딩스,KOSPI,5883,557,439,-0.85,1863,23206,12.0,00148993,CFS,31017268792.0,40573566580.0,26338025024.0,34721341885.0,35685096883.0,635676011734.0,996976573863.0,988103846.0,401545243764.0,-23.55,-24.14,63.76,0.25,True
