종목코드,종목명,재무제표종류,유동자산_2025,유동자산_2024,유동자산_2023,유동부채_2025,유동부채_2024,유동부채_2023,부채총계_2025,부채총계_2024,부채총계_2023,자본총계_2025,자본총계_2024,자본총계_2023,매출액_2025,매출액_2024,매출액_2023,영업이익_2025,영업이익_2024,영업이익_2023,당기순이익_2025,당기순이익_2024,당기순이익_2023,ROE_2025,부채비율_2025,유동비율_2025,ROE_2024,부채비율_2024,유동비율_2024,ROE_2023,부채비율_2023,유동비율_2023,매출액성장률_2025,영업이익성장률_2025,매출액성장률_2024,영업이익성장률_2024,유동자산_2022,유동자산_2021,유동부채_2022,유동부채_2021,부채총계_2022,부채총계_2021,자본총계_2022,자본총계_2021,매출액_2022,매출액_2021,영업이익_2022,영업이익_2021,당기순이익_2022,당기순이익_2021,ROE_2022,부채비율_2022,유동비율_2022,ROE_2021,부채비율_2021,유동비율_2021,매출액성장률_2023,영업이익성장률_2023,매출액성장률_2022,영업이익성장률_2022
000020,동화약품,CFS,217615042358.0,237806254928.0,237700038220.0,202825850151.0,134010964667.0,106133854638.0,240728435023.0,217959805338.0,155736123893.0,401439663390.0,401675120174.0,402783943810.0,496394309778.0,464874735245.0,361108562008.0,256752681.0,13411192945.0,18775880121.0,3842369985.0,2146096510.0,28237045586.0,0.96,59.97,107.29,0.53,54.26,177.45,7.01,38.66,223.96,6.78,-98.09,28.74,-28.57,227527470560.0,220198640064.0,75562338929.0,66461302426.0,82463208091.0,87671267145.0,378673250961.0,360133219794.0,340426327300.0,293018112028.0,29915077882.0,22496350976.0,21591210925.0,19582802208.0,5.7,21.78,301.11,5.44,24.34,331.32,6.08,-37.24,16.18,32.98
000040,KR모터스,CFS,18170497563.0,11944057793.0,48971232724.0,28707217327.0,30219368878.0,100285757703.0,50523620307.0,52629712095.0,116165786012.0,43672331167.0,32642815777.0,22404630587.0,13820791334.0,16024969823.0,13285788429.0,-2891596054.0,-4937030424.0,-6186427312.0,-1895969813.0,-14222283251.0,-21026668952.0,-4.34,115.69,63.3,-43.57,161.23,39.52,-93.85,518.49,48.83,-13.75,41.43,20.62,20.2,60741213420.0,69662862171.0,93561448025.0,95521993616.0,109161230426.0,118211175186.0,40024015157.0,50225636296.0,117058740510.0,133510437922.0,-6234392973.0,-2697618022.0,-13001279643.0,-11924557643.0,-32.48,272.74,64.92,-23.74,235.36,72.93,-33.02,-186.42,-12.32,-131.11
000050,경방,CFS,187655820492.0,145868325619.0,147155592912.0,266261459346.0,247427767447.0,284315938413.0,443817462202.0,454721013440.0,468815407005.0,811826797534.0,759626462484.0,738045543935.0,412475877463.0,397276756397.0,393518958996.0,45993453219.0,33449462550.0,15968826403.0,47379145951.0,23594327570.0,-13452219151.0,5.84,54.67,70.48,3.11,59.86,58.95,-1.82,63.52,51.76,3.83,37.5,0.95,109.47,149882373163.0,125501061907.0,199537522037.0,230716413570.0,493309854178.0,518658698167.0,755008459357.0,752146420062.0,389227582838.0,383357144805.0,31895306272.0,53796815200.0,4415249761.0,22281879937.0,0.58,65.34,75.11,2.96,68.96,54.4,1.1,-49.93,1.53,-40.71
000070,삼양홀딩스,CFS,1760159102435.0,1866108031174.0,1892682950469.0,1437375571232.0,988834692935.0,1362419052900.0,2619520717525.0,2292419017261.0,2357921004575.0,2652535097234.0,2998088452026.0,2796536317013.0,3348286833611.0,3415010545333.0,3088156229092.0,108765726889.0,108027883729.0,84150375855.0,-298132876106.0,89491916474.0,227014034818.0,-11.24,98.76,122.46,2.98,76.46,188.72,8.12,84.32,138.92,-1.95,0.68,10.58,28.37,1747899297133.0,1651027117253.0,754976733224.0,1002762979206.0,2024270109926.0,2035181761099.0,2523510512180.0,2425406927582.0,3316777826141.0,3107313356762.0,132324276850.0,351699774956.0,105849359330.0,274086322918.0,4.19,80.22,231.52,11.3,83.91,164.65,-3.19,-28.36,6.74,-62.38
000080,하이트진로,CFS,946011313769.0,1023166046028.0,1067666618640.0,1506962466392.0,1653251708979.0,1637599087593.0,2130368916488.0,2292042901576.0,2242471577188.0,1142138785882.0,1149495697352.0,1115875628342.0,2498566821284.0,2599183408023.0,2520181551629.0,172338670998.0,208141871425.0,123919983380.0,41117248572.0,95735005249.0,35511119931.0,3.6,186.52,62.78,8.33,199.4,61.89,3.18,200.96,65.2,-3.87,-17.2,3.13,67.96,1054944220365.0,1304322155414.0,1538466820626.0,1836774623142.0,2172409936540.0,2537892111011.0,1161028374847.0,1093159328672.0,2497554821448.0,2202903850371.0,190571249139.0,174111104900.0,86816258840.0,71771637523.0,7.48,187.11,68.57,6.57,232.16,71.01,0.91,-34.97,13.38,9.45
000087,하이트진로2우B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000100,유한양행,CFS,1511630227301.0,1360261256866.0,1256459307871.0,733553439318.0,619136487792.0,583192369256.0,858641498243.0,791378826075.0,711649335160.0,2362284335746.0,2150670010559.0,2100656255593.0,2186637586358.0,2067791451854.0,1858983759666.0,104374493823.0,54880319609.0,57032368560.0,185318996567.0,55163455235.0,134241126444.0,7.84,36.35,206.07,2.56,36.8,219.7,6.39,33.88,215.45,5.75,90.19,11.23,-3.77,1188897717371.0,1224097103095.0,434154259039.0,431979507891.0,464921702703.0,527922717347.0,2007806369446.0,1935889087603.0,1775846942745.0,1687810317744.0,36028967211.0,48596120264.0,90592526174.0,99126677873.0,4.51,23.16,273.84,5.12,27.27,283.37,4.68,57.54,5.22,-25.86
000105,유한양행우,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000120,CJ대한통운,CFS,2766670108486.0,2783266786865.0,2488306558137.0,3125807103845.0,2996783656303.0,2622292399933.0,5899567981863.0,5518255667581.0,5314491023876.0,4439637704423.0,4225599854802.0,4043096242871.0,12284652471280.0,12116761147160.0,11767893663269.0,508080820628.0,530663067133.0,480234863157.0,258742959823.0,268320297629.0,242876054885.0,5.83,132.88,88.51,6.35,130.59,92.88,6.01,131.45,94.89,1.39,-4.26,2.96,10.5,2956459492592.0,2348222541961.0,3108759801795.0,2448916060807.0,5658991479602.0,4977570577451.0,4034308338662.0,4016357938933.0,12130712862374.0,11343651787492.0,411786887242.0,343880765667.0,196821784424.0,158279696245.0,4.88,140.27,95.1,3.94,123.93,95.89,-2.99,16.62,6.94,19.75
000140,하이트진로홀딩스,CFS,959708346575.0,1029097623299.0,1085052800898.0,1907241823781.0,2098357740903.0,2148800130886.0,2768000988787.0,2923029298430.0,2874614630369.0,1140161316659.0,1154414666187.0,1105136518377.0,2484504029642.0,2585068710459.0,2506869281995.0,183252663765.0,221794886726.0,138073290650.0,15886630802.0,90773142637.0,18315800358.0,1.39,242.77,50.32,7.86,253.2,49.04,1.66,260.11,50.5,-3.89,-17.38,3.12,60.64,1071001299628.0,1318819854485.0,1953602947964.0,2354816512612.0,2779584712819.0,3148923131403.0,1165416251848.0,1087375061719.0,2484277054372.0,2192007504681.0,202502517207.0,188406599612.0,72048976158.0,67355184309.0,6.18,238.51,54.82,6.19,289.59,56.01,0.91,-31.82,13.33,7.48
000145,하이트진로홀딩스우,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000150,두산,CFS,14193308000000.0,11912646000000.0,11446328000000.0,13754410000000.0,11024159000000.0,11438852000000.0,20693467000000.0,18253581000000.0,17080070000000.0,12234321000000.0,11889482000000.0,11206739000000.0,19784138000000.0,18132874000000.0,19130130000000.0,1062715000000.0,1003759000000.0,1436262000000.0,249511000000.0,302227000000.0,272074000000.0,2.04,169.14,103.19,2.54,153.53,108.06,2.43,152.41,100.07,9.11,5.87,-5.21,-30.11,9526315384836.0,9877148136531.0,9478485386427.0,12009372006886.0,16017536857154.0,17535706719844.0,10297815766057.0,8410118702245.0,16995760103010.0,12851485792017.0,1126028726422.0,921057400974.0,-581168717784.0,648815499161.0,-5.64,155.54,100.5,7.71,208.51,82.25,12.56,27.55,32.25,22.25
000155,두산우,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000157,두산2우B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000180,성창기업지주,CFS,51621422376.0,50986246413.0,57333168068.0,60599040294.0,58260420912.0,108459246277.0,183803616784.0,141518712667.0,195769130917.0,677384427460.0,578374605374.0,573298043999.0,127218274093.0,143105590875.0,166253799305.0,-6928127999.0,-7293464621.0,-16701274741.0,-20640100656.0,-3623156326.0,-24022292887.0,-3.05,27.13,85.19,-0.63,24.47,87.51,-4.19,34.15,52.86,-11.1,5.01,-13.92,56.33,94243757784.0,73960214223.0,135617637519.0,89696325348.0,224541467009.0,164488267623.0,595772787956.0,539251837219.0,227519697624.0,197940313061.0,-11487135610.0,10471849670.0,-13134358819.0,5938031129.0,-2.2,37.69,69.49,1.1,30.5,82.46,-26.93,-45.39,14.94,-209.7
0001A0,덕양에너젠,CFS,26772249973.0,20377265260.0,24159319139.0,53717449611.0,29004597981.0,16272165341.0,58331270476.0,34362997650.0,20239469407.0,42474612118.0,36665849854.0,34593457502.0,143195229364.0,137370488463.0,129045577591.0,6680358069.0,6021503284.0,5026193276.0,4516046395.0,3024221562.0,3123046803.0,10.63,137.33,49.84,8.25,93.72,70.26,9.03,58.51,148.47,4.24,10.94,6.45,19.8,,,,,,,,,,,,,,,,,,,,,,,,
000210,DL,CFS,2912100568004.0,2878649711744.0,2818251796605.0,2409846279860.0,2641617003401.0,3123550526270.0,7261068527491.0,7749224680441.0,7586162395568.0,4921075694028.0,4786090727143.0,4533401164317.0,5326721292281.0,5615368498981.0,5017815821242.0,298546039560.0,412518392958.0,150696391721.0,-96298295176.0,94839002886.0,-120978168525.0,-1.96,147.55,120.84,1.98,161.91,108.97,-2.67,167.34,90.23,-5.14,-27.63,11.91,173.74,3002744413405.0,2512731845125.0,2323118787433.0,1460930581946.0,7401228917375.0,3793988663859.0,4602803852867.0,4386726629996.0,5173707170177.0,2358774796779.0,284470889015.0,193162085397.0,98152634753.0,728618667120.0,2.13,160.8,129.25,16.61,86.49,172.0,-3.01,-47.03,119.34,47.27
000215,DL우,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000220,유유제약,CFS,96914475809.0,101947330682.0,101596545868.0,58947687586.0,64479826927.0,49975202561.0,66679224990.0,72624048180.0,77857871884.0,140543964496.0,135063350825.0,120355654883.0,140884666972.0,133147218082.0,137209588673.0,11019185739.0,11697341742.0,364537115.0,9116733726.0,10289303485.0,-5540581558.0,6.49,47.44,164.41,7.62,53.77,158.11,-4.6,64.69,203.29,5.81,-5.8,-2.96,3108.82,96357746320.0,98887921935.0,64315528099.0,30014748584.0,71831031376.0,64300209429.0,123374041412.0,128685078168.0,138881056346.0,115655484997.0,-592113629.0,1200168223.0,-4425392926.0,-920289067.0,-3.59,58.22,149.82,-0.72,49.97,329.46,-1.2,161.57,20.08,-149.34
000225,유유제약1우,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000227,유유제약2우B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
