종목코드,종목명,재무제표종류,유동자산_2023,유동자산_2022,유동자산_2021,유동부채_2023,유동부채_2022,유동부채_2021,부채총계_2023,부채총계_2022,부채총계_2021,자본총계_2023,자본총계_2022,자본총계_2021,매출액_2023,매출액_2022,매출액_2021,영업이익_2023,영업이익_2022,영업이익_2021,당기순이익_2023,당기순이익_2022,당기순이익_2021,ROE_2023,부채비율_2023,유동비율_2023,ROE_2022,부채비율_2022,유동비율_2022,ROE_2021,부채비율_2021,유동비율_2021,매출액성장률_2023,영업이익성장률_2023,매출액성장률_2022,영업이익성장률_2022
000020,동화약품,CFS,237700038220.0,227527470560.0,220198640064.0,106133854638.0,75562338929.0,66461302426.0,157916042874.0,82463208091.0,87671267145.0,407056365747.0,378673250961.0,360133219794.0,361108562008.0,340426327300.0,293018112028.0,18775880121.0,29915077882.0,22496350976.0,28237045586.0,21591210925.0,19582802208.0,6.94,38.79,223.96,5.7,21.78,301.11,5.44,24.34,331.32,6.08,-37.24,16.18,32.98
000040,KR모터스,CFS,48971232724.0,60741213420.0,69662862171.0,100285757703.0,93561448025.0,95521993616.0,116165786012.0,109161230426.0,118211175186.0,22404630587.0,40024015157.0,50225636296.0,78406266627.0,117058740510.0,133510437922.0,-17856852211.0,-6234392973.0,-2697618022.0,-21026668952.0,-13001279643.0,-11924557643.0,-93.85,518.49,48.83,-32.48,272.74,64.92,-23.74,235.36,72.93,-33.02,-186.42,-12.32,-131.11
000050,경방,CFS,147155592912.0,149882373163.0,125501061907.0,284315938413.0,199537522037.0,230716413570.0,468815407005.0,493309854178.0,518658698167.0,738045543935.0,755008459357.0,752146420062.0,393518958996.0,389227582838.0,383357144805.0,15968826403.0,31895306272.0,53796815200.0,-13452219151.0,4415249761.0,22281879937.0,-1.82,63.52,51.76,0.58,65.34,75.11,2.96,68.96,54.4,1.1,-49.93,1.53,-40.71
000070,삼양홀딩스,CFS,1891863242322.0,1747899297133.0,1651027117253.0,1362419052900.0,754976733224.0,1002762979206.0,2340123861992.0,2024270109926.0,2035181761099.0,2796536317013.0,2523510512180.0,2425406927582.0,3210853491794.0,3316777826141.0,3107313356762.0,94802726814.0,132324276850.0,351699774956.0,227014034818.0,105849359330.0,274086322918.0,8.12,83.68,138.86,4.19,80.22,231.52,11.3,83.91,164.65,-3.19,-28.36,6.74,-62.38
000080,하이트진로,CFS,1067666618640.0,1054944220365.0,1304322155414.0,1637599087593.0,1538466820626.0,1836774623142.0,2242471577188.0,2172409936540.0,2537892111011.0,1115875628342.0,1161028374847.0,1093159328672.0,2520181551629.0,2497554821448.0,2202903850371.0,123919983380.0,190571249139.0,174111104900.0,35511119931.0,86816258840.0,71771637523.0,3.18,200.96,65.2,7.48,187.11,68.57,6.57,232.16,71.01,0.91,-34.97,13.38,9.45
000087,하이트진로2우B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000100,유한양행,CFS,1256459307871.0,1188897717371.0,1224097103095.0,583192369256.0,434154259039.0,431979507891.0,712337878463.0,464921702703.0,527922717347.0,2101732643463.0,2007806369446.0,1935889087603.0,1858983759666.0,1775846942745.0,1687810317744.0,56759795062.0,36028967211.0,48596120264.0,134031517424.0,90592526174.0,99126677873.0,6.38,33.89,215.45,4.51,23.16,273.84,5.12,27.27,283.37,4.68,57.54,5.22,-25.86
000105,유한양행우,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000120,CJ대한통운,CFS,2488306558137.0,2956459492592.0,2348222541961.0,2622292399933.0,3108759801795.0,2448916060807.0,5314491023876.0,5658991479602.0,4977570577451.0,4043096242871.0,4034308338662.0,4016357938933.0,11767893663269.0,12130712862374.0,11343651787492.0,480234863157.0,411786887242.0,343880765667.0,242876054885.0,196821784424.0,158279696245.0,6.01,131.45,94.89,4.88,140.27,95.1,3.94,123.93,95.89,-2.99,16.62,6.94,19.75
000140,하이트진로홀딩스,CFS,1085052800898.0,1071001299628.0,1318819854485.0,2148800130886.0,1953602947964.0,2354816512612.0,2874614630369.0,2779584712819.0,3148923131403.0,1105136518377.0,1165416251848.0,1087375061719.0,2506869281995.0,2484277054372.0,2192007504681.0,138073290650.0,202502517207.0,188406599612.0,18315800358.0,72048976158.0,67355184309.0,1.66,260.11,50.5,6.18,238.51,54.82,6.19,289.59,56.01,0.91,-31.82,13.33,7.48
000145,하이트진로홀딩스우,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000150,두산,CFS,11446327758199.0,9526315384836.0,9877148136531.0,11438852161739.0,9478485386427.0,12009372006886.0,17080070105878.0,16017536857154.0,17535706719844.0,11206738545707.0,10297815766057.0,8410118702245.0,19130129881903.0,16995760103010.0,12851485792017.0,1436262204451.0,1126028726422.0,921057400974.0,272073643932.0,-581168717784.0,648815499161.0,2.43,152.41,100.07,-5.64,155.54,100.5,7.71,208.51,82.25,12.56,27.55,32.25,22.25
000155,두산우,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000157,두산2우B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000180,성창기업지주,CFS,57333168068.0,94243757784.0,73960214223.0,108459246277.0,135617637519.0,89696325348.0,195769130917.0,224541467009.0,164488267623.0,573298043999.0,595772787956.0,539251837219.0,166253799305.0,227519697624.0,197940313061.0,-16701274741.0,-11487135610.0,10471849670.0,-24022292887.0,-13134358819.0,5938031129.0,-4.19,34.15,52.86,-2.2,37.69,69.49,1.1,30.5,82.46,-26.93,-45.39,14.94,-209.7
000210,DL,CFS,2818251796605.0,3002744413405.0,2512731845125.0,3123550526270.0,2323118787433.0,1460930581946.0,7586162395568.0,7401228917375.0,3793988663859.0,4533401164317.0,4602803852867.0,4386726629996.0,5017815821242.0,5173707170177.0,2358774796779.0,150696391721.0,284470889015.0,193162085397.0,-120978168525.0,98152634753.0,728618667120.0,-2.67,167.34,90.23,2.13,160.8,129.25,16.61,86.49,172.0,-3.01,-47.03,119.34,47.27
000215,DL우,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000220,유유제약,CFS,101596545868.0,96357746320.0,98887921935.0,49975202561.0,64315528099.0,30014748584.0,77857871884.0,71831031376.0,64300209429.0,120355654883.0,123374041412.0,128685078168.0,137209588673.0,138881056346.0,115655484997.0,364537115.0,-592113629.0,1200168223.0,-5540581558.0,-4425392926.0,-920289067.0,-4.6,64.69,203.29,-3.59,58.22,149.82,-0.72,49.97,329.46,-1.2,161.57,20.08,-149.34
000225,유유제약1우,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000227,유유제약2우B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000230,일동홀딩스,CFS,269741863061.0,357916641920.0,367618431062.0,531647750490.0,526724128430.0,539305409799.0,707097204368.0,693452985420.0,737422939881.0,169901850428.0,169100181474.0,183339578431.0,638447517670.0,675539717333.0,592374545924.0,-79561775827.0,-98410983144.0,-82843702401.0,-118787164570.0,-194503503708.0,-134695952279.0,-69.92,416.18,50.74,-115.02,410.08,67.95,-73.47,402.22,68.17,-5.49,19.15,14.04,-18.79
000240,한국앤컴퍼니,CFS,719088877696.0,531357795700.0,630341081664.0,461942240387.0,285271955522.0,242029427910.0,624304502331.0,445377543909.0,345760552275.0,4016691459374.0,3856441131880.0,3735469202373.0,1089668057103.0,1095895770449.0,963300354498.0,256563452628.0,245248895826.0,228305200484.0,187234321156.0,166028417720.0,200011036446.0,4.66,15.54,155.67,4.31,11.55,186.26,5.35,9.26,260.44,-0.57,4.61,13.76,7.42
000270,기아,CFS,37466302000000.0,34147147000000.0,29205483000000.0,25674105000000.0,25377803000000.0,21562636000000.0,34069591000000.0,34367884000000.0,31937441000000.0,46558235000000.0,39343081000000.0,34912556000000.0,99808420000000.0,86559029000000.0,69862366000000.0,11607873000000.0,7233120000000.0,5065685000000.0,8777817000000.0,5408976000000.0,4760311000000.0,18.85,73.18,145.93,13.75,87.35,134.56,13.63,91.48,135.44,15.31,60.48,23.9,42.79
000300,DH오토넥스,CFS,22832186627.0,244993953070.0,319733925042.0,197353624947.0,330733362911.0,340478723231.0,202256217483.0,431957816260.0,455486600368.0,-127983096130.0,111252460593.0,138907087930.0,32790275265.0,50206345165.0,464527022851.0,-29945679316.0,-3650120030.0,7907353424.0,-177163487018.0,-24285822987.0,1985111466.0,138.43,-158.03,11.57,-21.83,388.27,74.08,1.43,327.91,93.91,-34.69,-720.4,-89.19,-146.16
000320,노루홀딩스,CFS,595112644977.0,583742767450.0,495132610770.0,351623858673.0,367016107664.0,308285779935.0,495031925010.0,511163923981.0,472000054543.0,693791646520.0,660825453997.0,583537127613.0,1214616529837.0,1031734916590.0,950092196546.0,67435854564.0,29622458735.0,26621627604.0,51679439985.0,33390806659.0,10707789673.0,7.45,71.35,169.25,5.05,77.35,159.05,1.83,80.89,160.61,17.73,127.65,8.59,11.27
000325,노루홀딩스우,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000370,한화손해보험,CFS,,,,,,,14769484441908.0,13942309499679.0,18825405054947.0,3345779304103.0,3231202089729.0,1459583024339.0,0.0,0.0,7992553392764.0,,,,212756867457.0,187263661938.0,94867381537.0,6.36,441.44,,5.8,431.49,,6.5,1289.78,,,,-100.0,
000390,SP삼화,CFS,298301302214.0,288113092021.0,303516203271.0,214188723179.0,225145199247.0,218092920344.0,281560002691.0,287461316451.0,316175727485.0,309053611346.0,299724957682.0,295922008681.0,631381875774.0,646039531651.0,631605900694.0,25826733514.0,19854394322.0,823659928.0,16130730290.0,5498047424.0,-2425671290.0,5.22,91.1,139.27,1.83,95.91,127.97,-0.82,106.84,139.17,-2.27,30.08,2.29,2310.51
000400,롯데손해보험,CFS,,,,,,,13586751527119.0,14961508820035.0,17909167668076.0,1256231689675.0,1803031352388.0,1002022030279.0,,,,,,,301635926214.0,-99202435421.0,119877975633.0,24.01,1081.55,,-5.5,829.8,,11.96,1787.3,,,,,
000430,대원강업,CFS,415648611932.0,380159612604.0,346751429467.0,372141469780.0,376914805040.0,342470164450.0,408110668532.0,412406943010.0,406038473793.0,618192989958.0,598011882328.0,576991043541.0,1106756862193.0,1024450498787.0,862222796887.0,59171860226.0,22056715849.0,-4958511406.0,37786380416.0,23233915898.0,-2857371907.0,6.11,66.02,111.69,3.89,68.96,100.86,-0.5,70.37,101.25,8.03,168.27,18.82,544.83
000480,CR홀딩스,CFS,431029759217.0,460349348857.0,415565058720.0,710420109813.0,551300891815.0,448165791167.0,795117752139.0,793378121821.0,560656513213.0,826684106817.0,827063930862.0,788679464058.0,816904445534.0,798039613255.0,746291404630.0,39415273348.0,22597868685.0,33138447600.0,26857674151.0,49575574685.0,33396172674.0,3.25,96.18,60.67,5.99,95.93,83.5,4.23,71.09,92.73,2.36,74.42,6.93,-31.81
