종목코드,재무제표종류,유동자산_2023,유동자산_2022,유동자산_2021,유동부채_2023,유동부채_2022,유동부채_2021,부채총계_2023,부채총계_2022,부채총계_2021,자본총계_2023,자본총계_2022,자본총계_2021,매출액_2023,매출액_2022,매출액_2021,영업이익_2023,영업이익_2022,영업이익_2021,당기순이익_2023,당기순이익_2022,당기순이익_2021
000020,CFS,237700038220.0,227527470560.0,220198640064.0,106133854638.0,75562338929.0,66461302426.0,157916042874.0,82463208091.0,87671267145.0,407056365747.0,378673250961.0,360133219794.0,361108562008.0,340426327300.0,293018112028.0,18775880121.0,29915077882.0,22496350976.0,28237045586.0,21591210925.0,19582802208.0
000040,CFS,48971232724.0,60741213420.0,69662862171.0,100285757703.0,93561448025.0,95521993616.0,116165786012.0,109161230426.0,118211175186.0,22404630587.0,40024015157.0,50225636296.0,78406266627.0,117058740510.0,133510437922.0,-17856852211.0,-6234392973.0,-2697618022.0,-21026668952.0,-13001279643.0,-11924557643.0
000050,CFS,147155592912.0,149882373163.0,125501061907.0,284315938413.0,199537522037.0,230716413570.0,468815407005.0,493309854178.0,518658698167.0,738045543935.0,755008459357.0,752146420062.0,393518958996.0,389227582838.0,383357144805.0,15968826403.0,31895306272.0,53796815200.0,-13452219151.0,4415249761.0,22281879937.0
000070,CFS,1891863242322.0,1747899297133.0,1651027117253.0,1362419052900.0,754976733224.0,1002762979206.0,2340123861992.0,2024270109926.0,2035181761099.0,2796536317013.0,2523510512180.0,2425406927582.0,3210853491794.0,3316777826141.0,3107313356762.0,94802726814.0,132324276850.0,351699774956.0,227014034818.0,105849359330.0,274086322918.0
000080,CFS,1067666618640.0,1054944220365.0,1304322155414.0,1637599087593.0,1538466820626.0,1836774623142.0,2242471577188.0,2172409936540.0,2537892111011.0,1115875628342.0,1161028374847.0,1093159328672.0,2520181551629.0,2497554821448.0,2202903850371.0,123919983380.0,190571249139.0,174111104900.0,35511119931.0,86816258840.0,71771637523.0
000087,,,,,,,,,,,,,,,,,,,,,,
000100,CFS,1256459307871.0,1188897717371.0,1224097103095.0,583192369256.0,434154259039.0,431979507891.0,712337878463.0,464921702703.0,527922717347.0,2101732643463.0,2007806369446.0,1935889087603.0,1858983759666.0,1775846942745.0,1687810317744.0,56759795062.0,36028967211.0,48596120264.0,134031517424.0,90592526174.0,99126677873.0
000105,,,,,,,,,,,,,,,,,,,,,,
000120,CFS,2488306558137.0,2956459492592.0,2348222541961.0,2622292399933.0,3108759801795.0,2448916060807.0,5314491023876.0,5658991479602.0,4977570577451.0,4043096242871.0,4034308338662.0,4016357938933.0,11767893663269.0,12130712862374.0,11343651787492.0,480234863157.0,411786887242.0,343880765667.0,242876054885.0,196821784424.0,158279696245.0
000140,CFS,1085052800898.0,1071001299628.0,1318819854485.0,2148800130886.0,1953602947964.0,2354816512612.0,2874614630369.0,2779584712819.0,3148923131403.0,1105136518377.0,1165416251848.0,1087375061719.0,2506869281995.0,2484277054372.0,2192007504681.0,138073290650.0,202502517207.0,188406599612.0,18315800358.0,72048976158.0,67355184309.0
000145,,,,,,,,,,,,,,,,,,,,,,
000150,CFS,11446327758199.0,9526315384836.0,9877148136531.0,11438852161739.0,9478485386427.0,12009372006886.0,17080070105878.0,16017536857154.0,17535706719844.0,11206738545707.0,10297815766057.0,8410118702245.0,19130129881903.0,16995760103010.0,12851485792017.0,1436262204451.0,1126028726422.0,921057400974.0,272073643932.0,-581168717784.0,648815499161.0
000155,,,,,,,,,,,,,,,,,,,,,,
000157,,,,,,,,,,,,,,,,,,,,,,
000180,CFS,57333168068.0,94243757784.0,73960214223.0,108459246277.0,135617637519.0,89696325348.0,195769130917.0,224541467009.0,164488267623.0,573298043999.0,595772787956.0,539251837219.0,166253799305.0,227519697624.0,197940313061.0,-16701274741.0,-11487135610.0,10471849670.0,-24022292887.0,-13134358819.0,5938031129.0
000210,CFS,2818251796605.0,3002744413405.0,2512731845125.0,3123550526270.0,2323118787433.0,1460930581946.0,7586162395568.0,7401228917375.0,3793988663859.0,4533401164317.0,4602803852867.0,4386726629996.0,5017815821242.0,5173707170177.0,2358774796779.0,150696391721.0,284470889015.0,193162085397.0,-120978168525.0,98152634753.0,728618667120.0
000215,,,,,,,,,,,,,,,,,,,,,,
000220,CFS,101596545868.0,96357746320.0,98887921935.0,49975202561.0,64315528099.0,30014748584.0,77857871884.0,71831031376.0,64300209429.0,120355654883.0,123374041412.0,128685078168.0,137209588673.0,138881056346.0,115655484997.0,364537115.0,-592113629.0,1200168223.0,-5540581558.0,-4425392926.0,-920289067.0
000225,,,,,,,,,,,,,,,,,,,,,,
000227,,,,,,,,,,,,,,,,,,,,,,
000230,CFS,269741863061.0,357916641920.0,367618431062.0,531647750490.0,526724128430.0,539305409799.0,707097204368.0,693452985420.0,737422939881.0,169901850428.0,169100181474.0,183339578431.0,638447517670.0,675539717333.0,592374545924.0,-79561775827.0,-98410983144.0,-82843702401.0,-118787164570.0,-194503503708.0,-134695952279.0
000240,CFS,719088877696.0,531357795700.0,630341081664.0,461942240387.0,285271955522.0,242029427910.0,624304502331.0,445377543909.0,345760552275.0,4016691459374.0,3856441131880.0,3735469202373.0,1089668057103.0,1095895770449.0,963300354498.0,256563452628.0,245248895826.0,228305200484.0,187234321156.0,166028417720.0,200011036446.0
