종목코드,3개월수익률(%),6개월수익률(%),12개월수익률(%),평균거래대금(억원)
000020,-18.46,-18.05,-27.36,19.8
000040,-40.67,-41.19,-46.71,0.6
000050,-15.41,-1.98,10.24,6.1
000070,-17.17,-3.34,-1.96,6.7
000080,-11.23,-15.56,-25.43,24.3
000087,-12.73,-15.09,-23.88,0.4
000100,-20.99,-30.78,-38.81,233.6
000105,-21.36,-34.33,-39.33,2.0
000120,-24.51,-24.73,-14.11,51.1
000140,-10.39,-14.29,-22.47,3.3
000145,-22.84,-23.6,-27.43,0.0
000150,-22.71,25.9,108.95,1480.6
000155,-31.4,-21.55,8.78,104.3
000157,-33.14,-22.35,-13.55,8.0
000180,-26.25,-25.26,-32.53,1.1
000210,-26.38,30.83,-4.9,56.5
000215,-28.29,-4.18,-22.14,1.0
000220,-16.74,-19.17,-20.68,13.4
000225,-17.92,-25.2,-26.99,1.8
000227,-32.63,-31.81,-31.1,0.2
000230,-37.2,-46.83,-29.97,1.8
000240,1.21,-5.83,4.16,38.8
000270,-14.93,-17.92,25.36,2158.2
000300,0.0,0.0,111.69,0.0
000320,-27.05,-22.98,-28.93,2.4
000325,-25.43,-23.15,-26.8,0.0
000370,-11.62,-1.0,-6.32,52.3
000390,-36.93,-11.96,-3.4,13.2
000400,6.76,33.68,27.51,24.4
000430,-20.98,-19.73,-3.93,26.3
000480,-6.67,-0.64,-13.56,2.3
000490,-32.34,-33.46,-29.81,22.6
000500,68.71,277.29,443.05,683.2
000520,-28.15,-22.76,-35.0,12.3
000540,-29.36,-9.86,-33.88,4.9
000545,-25.76,-27.43,-37.45,0.1
000590,-14.43,-13.0,-24.13,0.6
000640,-15.37,-19.61,-27.27,14.1
000650,-27.48,-49.13,246.5,103.7
000660,43.94,129.34,561.28,120297.6
000670,-48.31,-36.71,-17.65,14.0
000680,-24.22,-16.43,-25.57,14.0
000700,-4.6,-0.5,-1.31,2.0
000720,-38.61,-2.75,58.98,1103.0
000725,-35.83,-25.68,-13.27,4.3
000760,-22.34,-15.62,-2.42,0.2
000810,41.23,30.89,41.23,1030.8
000815,8.45,7.57,16.03,77.8
000850,-14.95,-17.77,-0.46,16.6
000860,-30.99,-30.12,-4.05,3.1
000880,-26.77,-19.46,0.52,284.1
00088K,-34.06,-33.73,-20.24,30.1
000890,-33.55,-31.61,-39.18,96.2
000910,-38.5,-36.33,-42.37,3.3
000950,-21.8,-27.66,-25.94,1.2
000970,-9.32,-2.36,-9.19,2.5
000990,-34.21,9.89,120.75,1114.4
001020,-38.92,-32.89,-44.26,0.7
001040,-39.36,-31.61,-13.71,265.4
001045,-24.67,-25.9,-20.16,3.5
00104K,-29.99,-19.82,1.0,14.8
001060,-25.23,-15.85,6.15,14.4
001065,-21.24,-25.18,-29.7,0.0
001067,-19.74,-26.89,-31.39,0.0
001070,-5.54,-2.62,-6.1,1.1
001080,-22.45,-24.77,64.62,3.0
001120,-26.68,8.71,17.14,67.4
001130,-28.5,-21.25,-27.43,3.0
001200,-18.13,12.6,14.75,72.5
001210,-3.35,-10.33,-15.34,144.7
001230,-31.0,8.4,-9.99,11.4
001250,-33.03,24.46,7.01,48.6
001260,-25.05,-10.98,-16.38,32.9
001270,-28.4,-22.9,-10.59,6.9
001275,-16.74,4.66,14.74,1.4
001290,-46.52,5.0,0.14,7.5
001340,-36.05,-16.58,-17.56,41.3
001360,-41.43,-19.47,-21.36,10.7
001380,-37.36,-56.13,-59.11,1.8
001390,-31.67,-20.85,-12.77,17.1
001420,-6.13,-10.19,-24.71,1.2
001430,-50.63,-53.2,5.09,135.0
001440,-34.42,2.93,77.62,2563.5
001450,32.08,44.36,50.84,226.5
001460,-35.76,-22.05,-18.96,1.6
001465,-30.25,-0.21,-8.77,0.3
001470,0.0,0.0,0.0,0.0
001500,-29.45,-12.57,-12.86,26.7
001510,-43.15,46.31,52.19,396.9
001515,-65.19,-13.39,-11.87,5.0
001520,-30.68,-32.03,-11.99,7.1
001525,-2.47,-11.53,-3.67,0.2
001527,-48.16,-57.78,-56.72,0.1
001530,-25.04,19.9,-40.53,17.4
001550,-31.97,-6.26,-22.2,6.7
001560,-27.73,-11.86,-11.12,0.4
001570,0.0,0.0,0.0,0.0
001620,-33.96,-21.04,-15.54,1.2
001630,-22.48,-20.1,-24.71,3.1
001680,-15.84,-19.09,-23.61,17.6
001685,-15.56,-16.01,-18.64,0.9
001720,-29.05,-13.99,2.0,34.9
001740,35.21,63.58,67.69,1411.2
001750,-35.64,1.04,8.33,6.3
001755,-35.55,5.58,14.61,0.7
001770,-63.43,-65.65,-68.3,1.0
001780,-35.51,-25.71,-30.89,35.9
001790,-13.88,-6.46,-15.01,14.0
001795,-17.84,-17.84,-18.81,2.3
001800,3.21,22.33,15.21,42.0
001820,26.89,159.49,209.79,1337.5
001940,-6.36,-0.96,0.78,2.0
002020,-57.05,-47.3,-51.77,51.9
002025,-54.28,-45.87,-45.98,1.3
002030,-28.74,-33.25,-43.48,8.4
002070,-43.5,-63.99,-73.88,10.5
002100,-8.67,0.77,-6.24,5.7
002140,-16.87,-2.7,-18.47,28.8
002150,-29.39,-18.55,-25.37,5.1
002170,-7.7,1.62,1.99,1.8
002200,-18.51,-27.99,-22.24,3.0
002210,0.0,0.0,0.0,0.0
002220,-44.07,-37.99,7.28,13.6
002240,-30.68,-22.21,-8.95,7.6
002310,-19.36,-3.81,-6.88,10.9
002320,-21.64,-22.95,-27.04,4.8
002350,-9.86,-16.85,12.46,9.8
002355,-10.8,2.24,13.95,0.5
002360,-42.62,-41.99,-55.51,1.4
002380,-24.33,-11.17,15.01,189.1
002390,-16.76,-20.42,-27.88,2.4
002410,0.0,0.0,0.0,0.0
002420,-10.59,4.89,-8.04,3.7
002450,-10.36,-3.35,-12.79,4.5
002460,-11.49,-8.24,1.35,2.8
002600,-6.62,-14.17,-9.82,0.1
002620,-23.74,-15.3,-21.81,1.0
002630,-12.03,-10.09,-28.05,3.7
002690,-9.55,-5.71,-5.94,1.3
002700,-28.89,-19.77,-27.91,40.0
002710,-51.24,-42.18,-50.47,17.6
002720,-30.67,-26.83,-31.68,3.3
002760,-12.5,-11.49,-0.79,3.1
002780,-24.19,7.05,2.65,57.7
002785,-51.28,-53.46,-53.07,0.5
002787,-53.03,-55.61,-52.8,0.4
002790,-19.6,-15.83,-22.93,33.5
002795,-14.49,-14.08,-15.25,1.3
00279K,-15.92,-7.62,-12.15,1.6
002810,14.67,37.21,38.62,4.6
002820,-5.75,-4.97,-23.24,0.5
002840,-11.97,-12.4,-21.63,6.5
002870,-11.27,-9.67,-14.24,3.2
002880,-15.33,-28.82,-36.69,11.3
