종목코드,종목명,재무제표종류,유동자산_2025,유동자산_2024,유동부채_2025,유동부채_2024,부채총계_2025,부채총계_2024,자본총계_2025,자본총계_2024,매출액_2025,매출액_2024,영업이익_2025,영업이익_2024,당기순이익_2025,당기순이익_2024
000020,동화약품,CFS,240082717311.0,237806254928.0,137600378989.0,134010964667.0,228101166692.0,217959805338.0,397043015692.0,401675120174.0,125674434732.0,118885750294.0,2269124391.0,6538005157.0,-800079071.0,2925025396.0
000040,KR모터스,CFS,11060996855.0,11944057793.0,30850992286.0,30219368878.0,53283552914.0,52629712095.0,31016576080.0,32642815777.0,2943066142.0,1913120610.0,-773381893.0,-1635215009.0,-1626239697.0,-9047292576.0
000050,경방,CFS,155282761720.0,145868325619.0,251159694794.0,247427767447.0,457878834435.0,454721013440.0,760172529142.0,759626462484.0,102272642013.0,97940107471.0,10828769795.0,13032864041.0,4311542311.0,1658963427.0
000070,삼양홀딩스,CFS,1949528582508.0,1866108031174.0,962703588083.0,988834692935.0,2318968077247.0,2292419017261.0,3070045367796.0,2998088452026.0,865935907513.0,871146354566.0,31485530906.0,34730419133.0,38568624363.0,44202572822.0
000080,하이트진로,CFS,1070002715515.0,1023166046028.0,1665516967208.0,1653251708979.0,2346520746950.0,2292042901576.0,1141470113458.0,1149495697352.0,612776901672.0,621149368492.0,62725468488.0,48351964327.0,37995478105.0,26162741121.0
000087,하이트진로2우B,,,,,,,,,,,,,,,
000100,유한양행,CFS,1426426214740.0,1360261256866.0,693398941314.0,619136487792.0,868501166171.0,791378826075.0,2122117807887.0,2150670010559.0,491563987277.0,444593457592.0,6419671960.0,577136746.0,10008638224.0,10811693128.0
000105,유한양행우,,,,,,,,,,,,,,,
000120,CJ대한통운,CFS,2965696894713.0,2783266786865.0,3465433151273.0,2996783656303.0,5655838404778.0,5518255667581.0,4261629618102.0,4225599854802.0,2992585545195.0,2921425893480.0,85366748157.0,109365332567.0,40977283248.0,55434587929.0
000140,하이트진로홀딩스,CFS,1076373525477.0,1029097623299.0,2119085102021.0,2098357740903.0,2966471533105.0,2923029298430.0,1159065544271.0,1154414666187.0,609642955128.0,618367755264.0,64607746227.0,51393785645.0,32149100182.0,22982366808.0
