종목코드,종목명,재무제표종류,유동자산_2025,유동자산_2024,유동부채_2025,유동부채_2024,부채총계_2025,부채총계_2024,자본총계_2025,자본총계_2024,매출액_2025,매출액_2024,영업이익_2025,영업이익_2024,당기순이익_2025,당기순이익_2024
000020,동화약품,CFS,231993648349.0,237806254928.0,142587965602.0,134010964667.0,240684303154.0,217959805338.0,401879650949.0,401675120174.0,250699058088.0,234047896826.0,2883247204.0,11151229983.0,5333805598.0,6047082240.0
000040,KR모터스,CFS,11709878111.0,11944057793.0,51281211745.0,30219368878.0,53722975438.0,52629712095.0,31187802068.0,32642815777.0,7479554346.0,6505163481.0,-1006728671.0,-2740608824.0,-1455013709.0,-10594685702.0
000050,경방,CFS,140288023828.0,145868325619.0,228954721891.0,247427767447.0,436268409201.0,454721013440.0,768453141331.0,759626462484.0,197375255543.0,192963789460.0,16320567990.0,13408100849.0,13340898901.0,4619145148.0
000070,삼양홀딩스,CFS,2009543071119.0,1866108031174.0,947002080993.0,988834692935.0,2298261119062.0,2292419017261.0,3166186406569.0,2998088452026.0,1773450153831.0,1788503021912.0,74590663401.0,89928125637.0,81169139422.0,83893091960.0
000080,하이트진로,CFS,940963986965.0,1023166046028.0,1502685477201.0,1653251708979.0,2191541612078.0,2292042901576.0,1166727184051.0,1149495697352.0,1259331192470.0,1286389128608.0,127184863200.0,116598699077.0,70913878990.0,70043399795.0
000087,하이트진로2우B,,,,,,,,,,,,,,,
000100,유한양행,CFS,1454880948966.0,1360261256866.0,645242085304.0,619136487792.0,824342028929.0,791378826075.0,2214637156731.0,2150670010559.0,1070551004703.0,972905809795.0,56280687670.0,19119516163.0,54009801542.0,42723982663.0
000105,유한양행우,,,,,,,,,,,,,,,
000120,CJ대한통운,CFS,2855438043009.0,2783266786865.0,3108825717302.0,2996783656303.0,5644719325029.0,5518255667581.0,4257765716099.0,4225599854802.0,6040993652460.0,5980607974533.0,200610074694.0,234725888462.0,99162693653.0,116741259790.0
000140,하이트진로홀딩스,CFS,957701034344.0,1029097623299.0,1924190179999.0,2098357740903.0,2818204014456.0,2923029298430.0,1178721258119.0,1154414666187.0,1252538772259.0,1279991648990.0,132089976996.0,124307423082.0,61768277734.0,61791760143.0
000145,하이트진로홀딩스우,,,,,,,,,,,,,,,
000150,두산,CFS,13266719000000.0,11912646000000.0,12204269000000.0,11024159000000.0,19612186000000.0,18253581000000.0,11875816000000.0,11889482000000.0,9645115000000.0,9054558000000.0,556238000000.0,684626000000.0,244460000000.0,442259000000.0
000155,두산우,,,,,,,,,,,,,,,
000157,두산2우B,,,,,,,,,,,,,,,
000180,성창기업지주,CFS,52242647130.0,50986246413.0,59578859438.0,58260420912.0,141489421680.0,141518712667.0,569484956216.0,578374605374.0,65094303329.0,77174206243.0,-3635377949.0,-2127558059.0,-4786964728.0,-4020129128.0
000210,DL,CFS,2848887877516.0,2878649711744.0,2275598706777.0,2641617003401.0,7396938471129.0,7749224680441.0,4522388301151.0,4786090727143.0,2708289352926.0,2896190038873.0,177383633701.0,315149570241.0,-103761336130.0,41361527900.0
000215,DL우,,,,,,,,,,,,,,,
000220,유유제약,CFS,96248142062.0,101947330682.0,58091553887.0,64479826927.0,66659213777.0,72624048180.0,134747146148.0,135063350824.0,68752868207.0,66581518581.0,6162766665.0,8447587159.0,3593096503.0,7606021776.0
000225,유유제약1우,,,,,,,,,,,,,,,
000227,유유제약2우B,,,,,,,,,,,,,,,
000230,일동홀딩스,CFS,303284327343.0,267472842690.0,458817925524.0,369324959655.0,597304455678.0,600703310841.0,251602360066.0,253998132129.0,292762378803.0,314905330447.0,1554159224.0,-7741717706.0,-13222219583.0,-11829128471.0
000240,한국앤컴퍼니,CFS,617122935147.0,749903811373.0,302174023004.0,484686609846.0,489590484644.0,683552763446.0,4386399202660.0,4452873418433.0,732438365499.0,712196762471.0,200760207605.0,250302464775.0,171967794849.0,222538384667.0
