종목코드,종목명,재무제표종류,유동자산_2025,유동자산_2024,유동부채_2025,유동부채_2024,부채총계_2025,부채총계_2024,자본총계_2025,자본총계_2024,매출액_2025,매출액_2024,영업이익_2025,영업이익_2024,당기순이익_2025,당기순이익_2024
000020,동화약품,CFS,217615042358.0,237806254928.0,202825850151.0,134010964667.0,240728435023.0,217959805338.0,401439663390.0,401675120174.0,496394309778.0,464874735245.0,256752681.0,13411192945.0,3842369985.0,2146096510.0
000040,KR모터스,CFS,18170497563.0,11944057793.0,28707217327.0,30219368878.0,50523620307.0,52629712095.0,43672331167.0,32642815777.0,13820791334.0,16024969823.0,-2891596054.0,-4937030424.0,-1895969813.0,-14222283251.0
000050,경방,CFS,187655820492.0,145868325619.0,266261459346.0,247427767447.0,443817462202.0,454721013440.0,811826797534.0,759626462484.0,412475877463.0,397276756397.0,45993453219.0,33449462550.0,47379145951.0,23594327570.0
000070,삼양홀딩스,CFS,1760159102435.0,1866108031174.0,1437375571232.0,988834692935.0,2619520717525.0,2292419017261.0,2652535097234.0,2998088452026.0,3348286833611.0,3415010545333.0,108765726889.0,108027883729.0,-298132876106.0,89491916474.0
000080,하이트진로,CFS,946011313769.0,1023166046028.0,1506962466392.0,1653251708979.0,2130368916488.0,2292042901576.0,1142138785882.0,1149495697352.0,2498566821284.0,2599183408023.0,172338670998.0,208141871425.0,41117248572.0,95735005249.0
000087,하이트진로2우B,,,,,,,,,,,,,,,
000100,유한양행,CFS,1511630227301.0,1360261256866.0,733553439318.0,619136487792.0,858641498243.0,791378826075.0,2362284335746.0,2150670010559.0,2186637586358.0,2067791451854.0,104374493823.0,54880319609.0,185318996567.0,55163455235.0
000105,유한양행우,,,,,,,,,,,,,,,
000120,CJ대한통운,CFS,2766670108486.0,2783266786865.0,3125807103845.0,2996783656303.0,5899567981863.0,5518255667581.0,4439637704423.0,4225599854802.0,12284652471280.0,12116761147160.0,508080820628.0,530663067133.0,258742959823.0,268320297629.0
000140,하이트진로홀딩스,CFS,959708346575.0,1029097623299.0,1907241823781.0,2098357740903.0,2768000988787.0,2923029298430.0,1140161316659.0,1154414666187.0,2484504029642.0,2585068710459.0,183252663765.0,221794886726.0,15886630802.0,90773142637.0
000145,하이트진로홀딩스우,,,,,,,,,,,,,,,
000150,두산,CFS,14193308000000.0,11912646000000.0,13754410000000.0,11024159000000.0,20693467000000.0,18253581000000.0,12234321000000.0,11889482000000.0,19784138000000.0,18132874000000.0,1062715000000.0,1003759000000.0,249511000000.0,302227000000.0
