종목코드,종목명,업종명,시장구분,대표자,현재가,등락률,PBR,PER,ROE,매출액성장률(%),영업이익성장률(%),부채비율(%),유동비율(%),3개월수익률(%),6개월수익률(%),12개월수익률(%),평균거래대금(억원),시가총액,매출액,영업이익,EPS,BPS,상장주수,결산월,설립일,주소,경상이익,3년연속흑자
000020,동화약품,09제약,KOSPI,"유준하, 윤인호(각자 대표이사)",4925,-1.89,0.36,15.84,4.93,6.83,-64.66,47.68,99.84,-18.46,-18.05,-27.36,19.8,1395,1306,112,311.0,13692.0,27931,12.0,18970925.0,서울특별시 중구 서소문로9길 20 -,81,True
000040,KR모터스,15운송장비·부품,KOSPI,정재경,267,0.0,0.53,-9.89,40.62,-13.74,46.83,116.31,63.81,-40.67,-41.19,-46.71,0.6,230,26,-7,-27.0,506.0,86375,12.0,19170917.0,경상남도 창원시 성산구 완암로 28 　,194,False
000050,경방,16유통,KOSPI,"김준, 김담",8400,-1.06,0.27,4.86,8.01,-5.01,22.09,42.34,58.2,-15.41,-1.98,10.24,6.1,2269,1110,178,1728.0,31241.0,27415,12.0,19191005.0,서울특별시 영등포구 영중로 15 (영등포동 4가),260,True
000070,삼양홀딩스,21금융,KOSPI,엄태웅,57900,1.22,0.22,-2.5,-10.06,-51.88,-609.85,20.15,160.26,-17.17,-3.34,-1.96,6.7,4230,8383,292,-23161.0,261061.0,7763,12.0,19241001.0,서울특별시 종로구 종로33길 31,481,False
000080,하이트진로,05음식료·담배,KOSPI,장인섭,15250,1.8,0.95,26.2,3.54,-3.8,-14.47,173.62,57.27,-11.23,-15.56,-25.43,24.3,10253,5908,559,582.0,16066.0,70133,12.0,19540615.0,서울특별시 강남구 영동대로 714,506,True
000087,하이트진로2우B,05음식료·담배,KOSPI,,12270,-0.24,0.0,0.0,0.0,,,,,-12.73,-15.09,-23.88,0.4,139,0,0,0.0,0.0,1130,12.0,,,0,
000100,유한양행,09제약,KOSPI,대표이사 조욱제,74900,4.9,2.43,31.35,9.75,4.85,57.19,21.22,280.43,-20.99,-30.78,-38.81,233.6,55434,5268,88,2389.0,30855.0,79647,12.0,19260620.0,서울특별시 동작구  노량진로 74,288,True
000105,유한양행우,09제약,KOSPI,,63700,6.7,0.0,0.0,0.0,,,,,-21.36,-34.33,-39.33,2.0,687,0,0,0.0,0.0,1180,12.0,,,0,
000120,CJ대한통운,19운송·창고,KOSPI,"신영수, 민영학 (각자 대표)",77300,0.78,0.37,7.28,5.92,-0.15,-7.09,106.17,74.44,-24.51,-24.73,-14.11,51.1,16265,32145,921,10612.0,207860.0,22812,12.0,19301115.0,서울특별시 종로구 종로5길 7(청진동) Tower 8,554,True
000140,하이트진로홀딩스,21금융,KOSPI,장인섭,8280,1.22,0.33,-75.96,-0.85,-23.55,-24.14,63.76,0.25,-10.39,-14.29,-22.47,3.3,1863,5883,557,-109.0,25367.0,23206,12.0,19330809.0,서울특별시 강남구  영동대로 714,439,True
000145,하이트진로홀딩스우,21금융,KOSPI,,9390,1.19,0.0,0.0,0.0,,,,,-22.84,-23.6,-27.43,0.0,43,0,0,0.0,0.0,470,12.0,,,0,
000150,두산,13전기·전자,KOSPI,"박정원, 김민철, 유승우",1191000,-6.66,13.63,335.87,4.93,65.74,302.15,108.96,86.67,-22.71,25.9,108.95,1480.6,181856,50603,3408,3546.0,87399.0,16193,12.0,19331208.0,서울특별시 중구  장충단로 275 두산타원,1535,True
000155,두산우,13전기·전자,KOSPI,,415000,-5.14,0.0,0.0,0.0,,,,,-31.4,-21.55,8.78,104.3,15686,0,0,0.0,0.0,3996,12.0,,,0,
000157,두산2우B,13전기·전자,KOSPI,,351000,-3.04,0.0,0.0,0.0,,,,,-33.14,-22.35,-13.55,8.0,2795,0,0,0.0,0.0,893,12.0,,,0,
