종목코드,업종명
F70100030,
F70100031,
F70100032,
F70100033,
F70100034,
F70100035,
F70100036,
F70100037,
F70100038,
F70100039,
F70100040,
F70100041,
F70100042,
F70100043,
F70100044,
F70100045,
F70101B95,
F70101B96,
F70101B9A,
F70102B96,
F70103B96,
F70900001,
F70900002,
F71201B98,
F71202B98,
F71203B98,
F71204B98,
F71205B98,
F71206B98,
F71207B98,
F71208B98,
F73400008,
F73400009,
F73400010,
F73400011,
F73400012,
F74201773,
F74201BAA,
F74202BAA,
F74401777,
F74401BAA,
F74601669,
F74701776,
F74701B97,
F74701B9A,
F74702776,
F75601BA2,
F75602BA2,
F75701BA7,
F75702BA7,
F76201BC5,
F77200017,
F77200018,
F77200019,
F77200020,
F77200021,
F77200022,
F77200023,
F77200024,
F77200025,
F77200026,
F77200027,
F77200028,
F77200029,
F77200030,
F77200031,
F77200032,
F77200033,
F77200034,
F77200035,
F77200036,
F77200037,
F77200038,
F77200039,
F77200040,
000020,09제약
000040,15운송장비·부품
000050,16유통
000070,21금융
000080,05음식료·담배
000087,05음식료·담배
0000D0,
0000H0,
0000J0,
0000Y0,
0000Z0,
000100,09제약
000105,09제약
000120,19운송·창고
000140,21금융
000145,21금융
000150,13전기·전자
000155,13전기·전자
000157,13전기·전자
000180,26일반서비스
0001P0,
000210,08화학
000215,08화학
000220,09제약
000225,09제약
000227,09제약
000230,09제약
000240,21금융
000270,15운송장비·부품
0002C0,
000300,15운송장비·부품
000320,21금융
000325,21금융
000370,25보험
000390,08화학
000400,25보험
000430,15운송장비·부품
000480,10비금속
000490,12기계·장비
0004G0,
000500,13전기·전자
000520,09제약
000540,25보험
000545,25보험
000590,21금융
0005A0,
0005C0,
0005D0,
0005G0,
000640,21금융
000650,19운송·창고
000660,13전기·전자
000670,11금속
000680,16유통
000700,26일반서비스
000720,18건설
000725,18건설
000760,16유통
0007F0,
0007G0,
0007N0,
000810,25보험
000815,25보험
000850,12기계·장비
000860,08화학
000880,08화학
00088K,08화학
000890,05음식료·담배
0008E0,
0008S0,
0008T0,
000910,10비금속
000950,06섬유·의류
000970,11금속
000990,13전기·전자
001020,07종이·목재
001040,21금융
001045,21금융
00104K,21금융
001060,09제약
001065,09제약
001067,09제약
001070,06섬유·의류
001080,11금속
001120,16유통
001130,05음식료·담배
001200,24증권
001210,13전기·전자
001230,21금융
001250,16유통
001260,18건설
001270,24증권
001275,24증권
001290,24증권
001340,08화학
001360,09제약
001380,15운송장비·부품
001390,08화학
0013P0,
0013R0,
001420,15운송장비·부품
001430,11금속
001440,13전기·전자
001450,25보험
001460,06섬유·의류
001465,06섬유·의류
001470,18건설
001500,24증권
001510,24증권
001515,24증권
001520,10비금속
001525,10비금속
001527,10비금속
001530,16유통
001550,08화학
001560,10비금속
001570,08화학
0015B0,
0015E0,
0015F0,
0015K0,
001620,15운송장비·부품
001630,09제약
001680,05음식료·담배
001685,05음식료·담배
0016X0,
001720,24증권
001740,16유통
001750,24증권
001755,24증권
001770,11금속
001780,11금속
001790,05음식료·담배
001795,05음식료·담배
0017Y0,
001800,21금융
001820,13전기·전자
0018C0,
0018Z0,
001940,11금속
0019K0,
002020,21금융
002025,21금융
002030,26일반서비스
002070,06섬유·의류
0020H0,
002100,08화학
002140,05음식료·담배
002150,26일반서비스
002170,06섬유·의류
002200,07종이·목재
002210,09제약
002220,11금속
002240,11금속
0022T0,
002310,07종이·목재
002320,19운송·창고
002350,08화학
002355,08화학
002360,08화학
002380,08화학
002390,09제약
0023A0,
0023B0,
002410,18건설
002420,16유통
002450,27제조
002460,18건설
0025N0,
002600,05음식료·담배
002620,26일반서비스
002630,09제약
002690,11금속
0026E0,
0026S0,
002700,16유통
002710,11금속
002720,09제약
002760,08화학
002780,18건설
002785,18건설
002787,18건설
002790,08화학
002795,08화학
00279K,08화학
002810,16유통
002820,08화학
002840,08화학
002870,16유통
002880,15운송장비·부품
0028X0,
002900,12기계·장비
002920,15운송장비·부품
002960,08화학
002990,18건설
002995,18건설
003000,09제약
003010,16유통
003030,21금융
003060,09제약
003070,18건설
003075,18건설
003080,08화학
003090,09제약
0030R0,21금융
003120,09제약
003160,14의료·정밀기기
003200,06섬유·의류
003220,09제약
003230,05음식료·담배
003240,08화학
003280,19운송·창고
003300,10비금속
003350,08화학
003460,24증권
003465,24증권
003470,24증권
003475,24증권
003480,17전기·가스
003490,19운송·창고
003495,19운송·창고
003520,09제약
003530,24증권
003535,24증권
003540,24증권
003545,24증권
003547,24증권
003550,21금융
003555,21금융
003570,15운송장비·부품
003580,16유통
0035T0,
003610,06섬유·의류
003620,15운송장비·부품
003650,08화학
003670,13전기·전자
003680,05음식료·담배
003690,25보험
0036D0,
0036R0,
0036Z0,
003720,08화학
003780,08화학
003830,08화학
003850,09제약
0038A0,
003920,05음식료·담배
003925,05음식료·담배
003960,05음식료·담배
004000,08화학
004020,11금속
004060,16유통
004080,16유통
004090,10비금속
0040S0,
0040X0,
0040Y0,
004100,15운송장비·부품
004105,15운송장비·부품
004140,19운송·창고
004150,21금융
004170,16유통
0041D0,
0041E0,
004250,08화학
004255,08화학
004270,16유통
004310,09제약
004360,19운송·창고
004365,19운송·창고
004370,05음식료·담배
004380,12기계·장비
0043B0,
0043Y0,
004410,05음식료·담배
004415,05음식료·담배
004430,08화학
004440,10비금속
004450,11금속
004490,13전기·전자
004540,07종이·목재
004545,07종이·목재
004560,11금속
004690,17전기·가스
0046A0,
0046Y0,
004700,06섬유·의류
004710,13전기·전자
004720,09제약
004770,13전기·전자
0047A0,
0047N0,
0047P0,
0047R0,
004800,21금융
004830,08화학
004835,08화학
004840,08화학
004870,10비금속
004890,11금속
0048J0,
0048K0,
004910,08화학
004920,13전기·전자
004960,18건설
004970,
004980,10비금속
004985,10비금속
004990,21금융
00499K,21금융
0049K0,
0049M0,
005010,11금속
005030,15운송장비·부품
005070,08화학
005090,17전기·가스
0050E0,
005110,16유통
005180,05음식료·담배
0051A0,
0051G0,
005250,26일반서비스
005257,26일반서비스
0052D0,
0052S0,
0052T0,
005300,05음식료·담배
005305,05음식료·담배
005320,16유통
005360,16유통
005380,15운송장비·부품
005385,15운송장비·부품
005387,15운송장비·부품
005389,15운송장비·부품
0053L0,
0053M0,
005420,08화학
005430,19운송·창고
005440,21금융
005490,11금속
005500,09제약
005610,05음식료·담배
005680,13전기·전자
005690,13전기·전자
005720,08화학
005725,08화학
005740,21금융
005745,21금융
005750,10비금속
0057H0,
005800,06섬유·의류
005810,21금융
005820,06섬유·의류
005830,25보험
005850,15운송장비·부품
005870,13전기·전자
005880,19운송·창고
005930,13전기·전자
005935,13전기·전자
005940,24증권
005945,24증권
005950,08화학
005960,18건설
005965,18건설
006040,21금융
006060,16유통
006090,05음식료·담배
0060H0,
006110,11금속
006120,21금융
006125,21금융
0061Z0,
006200,21금융
006220,21금융
006260,21금융
006280,09제약
006340,13전기·전자
006345,13전기·전자
006360,18건설
006370,16유통
006380,08화학
006400,13전기·전자
006405,13전기·전자
006490,20통신
0064K0,
006570,11금속
0065G0,
006650,08화학
006660,15운송장비·부품
0066W0,
006740,07종이·목재
0067V0,
0067Y0,
006800,24증권
006805,24증권
00680K,24증권
006840,21금융
006880,16유통
006890,08화학
0068M0,
006980,05음식료·담배
0069M0,
007070,16유통
007110,16유통
007120,29IT 서비스
007160,05음식료·담배
007210,10비금속
007280,11금속
0072R0,
007310,05음식료·담배
007340,13전기·전자
0073X0,
007460,09제약
0074K0,
007540,21금융
007570,09제약
007575,09제약
007590,08화학
007610,13전기·전자
007660,13전기·전자
007690,08화학
007700,21금융
007810,13전기·전자
007815,13전기·전자
00781K,13전기·전자
007860,21금융
0078V0,
007980,06섬유·의류
0079X0,
008040,05음식료·담배
008060,21금융
00806K,21금융
0080G0,
0080X0,
0080Y0,
008250,07종이·목재
008260,11금속
0082F0,
0082V0,
008350,11금속
008355,11금속
0083S0,
008420,11금속
008490,08화학
0084D0,
0084E0,
0085N0,
0085P0,
008600,16유통
0086B0,
0086C0,
008700,13전기·전자
008730,08화학
008770,16유통
008775,16유통
0087F0,
008870,10비금속
0088N0,
008930,21금융
008970,11금속
0089B0,
0089C0,
0089D0,
009070,19운송·창고
0090B0,
009140,13전기·전자
009150,13전기·전자
009155,13전기·전자
009160,11금속
009180,19운송·창고
009190,11금속
0091C0,
