종목코드,종목명,시장구분,매출액,영업이익,경상이익,ROE,시가총액,상장주수,결산월,현재가,PER,PBR,EPS,BPS,등락률
000020,동화약품,KOSPI,1306,112,81,4.93,1395,27931,12.0,4925,15.84,0.36,311.00,13692.00,-1.89
000040,KR모터스,KOSPI,26,-7,194,40.62,230,86375,12.0,267,-9.89,0.53,-27.00,506.00,0.00
000050,경방,KOSPI,1110,178,260,8.01,2269,27415,12.0,8400,4.86,0.27,1728.00,31241.00,-1.06
000070,삼양홀딩스,KOSPI,8383,292,481,-10.06,4230,7763,12.0,57900,-2.50,0.22,-23161.00,261061.00,1.22
000080,하이트진로,KOSPI,5908,559,506,3.54,10253,70133,12.0,15250,26.20,0.95,582.00,16066.00,1.80
000087,하이트진로2우B,KOSPI,0,0,0,0.0,139,1130,12.0,12270,0.00,0.00,0.00,0.00,-0.24
000100,유한양행,KOSPI,5268,88,288,9.75,55434,79647,12.0,74900,31.35,2.43,2389.00,30855.00,4.90
000105,유한양행우,KOSPI,0,0,0,0.0,687,1180,12.0,63700,0.00,0.00,0.00,0.00,6.70
000120,CJ대한통운,KOSPI,32145,921,554,5.92,16265,22812,12.0,77300,7.28,0.37,10612.00,207860.00,0.78
000140,하이트진로홀딩스,KOSPI,5883,557,439,-0.85,1863,23206,12.0,8280,-75.96,0.33,-109.00,25367.00,1.22
000145,하이트진로홀딩스우,KOSPI,0,0,0,0.0,43,470,12.0,9390,0.00,0.00,0.00,0.00,1.19
000150,두산,KOSPI,50603,3408,1535,4.93,181856,16193,12.0,1191000,335.87,13.63,3546.00,87399.00,-6.66
000155,두산우,KOSPI,0,0,0,0.0,15686,3996,12.0,415000,0.00,0.00,0.00,0.00,-5.14
000157,두산2우B,KOSPI,0,0,0,0.0,2795,893,12.0,351000,0.00,0.00,0.00,0.00,-3.04
000180,성창기업지주,KOSPI,331,-16,-15,-3.28,708,13950,12.0,5310,-3.59,0.11,-1479.00,48557.00,-0.19
000210,DL,KOSPI,12828,1129,83,-1.39,9639,20955,12.0,50500,-12.99,0.28,-3887.00,177828.00,-0.79
000215,DL우,KOSPI,0,0,0,0.0,344,1686,12.0,21800,0.00,0.00,0.00,0.00,0.69
000220,유유제약,KOSPI,355,43,40,7.05,573,15747,12.0,3605,8.67,0.51,416.00,7069.00,-1.50
000225,유유제약1우,KOSPI,0,0,0,0.0,80,2266,12.0,3665,0.00,0.00,0.00,0.00,-2.27
000227,유유제약2우B,KOSPI,0,0,0,0.0,26,322,12.0,7310,0.00,0.00,0.00,0.00,-2.40
000230,일동홀딩스,KOSPI,1489,89,65,10.97,685,11540,12.0,6380,6.74,0.44,947.00,14623.00,3.40
000240,한국앤컴퍼니,KOSPI,3784,1217,1376,7.54,23876,94935,12.0,25050,6.85,0.50,3658.00,50477.00,-1.57
000270,기아,KOSPI,295019,22051,26352,11.9,564537,390412,12.0,130500,6.83,0.83,19111.00,157456.00,-12.88
000300,DH오토넥스,KOSPI,144,3,2,10.95,1740,41437,12.0,4200,37.50,4.81,112.00,874.00,0.00
000320,노루홀딩스,KOSPI,2988,162,210,6.76,2111,13291,12.0,16560,6.91,0.35,2395.00,47919.00,1.16
000325,노루홀딩스우,KOSPI,0,0,0,0.0,58,243,12.0,23900,0.00,0.00,0.00,0.00,0.42
