종목코드,종목명,시장구분,매출액,영업이익,경상이익,ROE,시가총액,상장주수,결산월,현재가,PER,PBR,EPS,BPS,등락률
000020,동화약품,KOSPI,1306,112,81,4.93,1395,27931,12.0,4925.0,15.84,0.36,311.0,13692.0,0.0
000040,KR모터스,KOSPI,26,-7,194,40.62,230,86375,12.0,267.0,-9.89,0.53,-27.0,506.0,0.0
000050,경방,KOSPI,1110,178,260,8.01,2269,27415,12.0,8480.0,4.91,0.27,1728.0,31241.0,0.95
000070,삼양홀딩스,KOSPI,8383,292,481,-10.06,4230,7763,12.0,59100.0,-2.55,0.23,-23161.0,261061.0,2.07
000080,하이트진로,KOSPI,5908,559,506,3.54,10253,70133,12.0,15360.0,26.39,0.96,582.0,16066.0,0.72
000087,하이트진로2우B,KOSPI,0,0,0,0.0,139,1130,12.0,12290.0,0.0,0.0,0.0,0.0,0.16
000100,유한양행,KOSPI,5268,88,288,9.75,55434,79647,12.0,72450.0,30.33,2.35,2389.0,30855.0,-3.27
000105,유한양행우,KOSPI,0,0,0,0.0,687,1180,12.0,61800.0,0.0,0.0,0.0,0.0,-2.98
000120,CJ대한통운,KOSPI,32145,921,554,5.92,16265,22812,12.0,75100.0,7.08,0.36,10612.0,207860.0,-2.85
000140,하이트진로홀딩스,KOSPI,5883,557,439,-0.85,1863,23206,12.0,8350.0,-76.61,0.33,-109.0,25367.0,0.85
000145,하이트진로홀딩스우,KOSPI,0,0,0,0.0,43,470,12.0,9400.0,0.0,0.0,0.0,0.0,0.11
000150,두산,KOSPI,50603,3408,1535,4.93,181856,16193,12.0,1182000.0,333.33,13.52,3546.0,87399.0,-0.76
000155,두산우,KOSPI,0,0,0,0.0,15686,3996,12.0,408000.0,0.0,0.0,0.0,0.0,-1.69
000157,두산2우B,KOSPI,0,0,0,0.0,2795,893,12.0,338000.0,0.0,0.0,0.0,0.0,-3.7
000180,성창기업지주,KOSPI,331,-16,-15,-3.28,708,13950,12.0,5300.0,-3.58,0.11,-1479.0,48557.0,-0.19
000210,DL,KOSPI,12828,1129,83,-1.39,9639,20955,12.0,49300.0,-12.68,0.28,-3887.0,177828.0,-2.38
000215,DL우,KOSPI,0,0,0,0.0,344,1686,12.0,21550.0,0.0,0.0,0.0,0.0,-1.15
000220,유유제약,KOSPI,355,43,40,7.05,573,15747,12.0,3615.0,8.69,0.51,416.0,7069.0,0.28
000225,유유제약1우,KOSPI,0,0,0,0.0,80,2266,12.0,3705.0,0.0,0.0,0.0,0.0,1.09
000227,유유제약2우B,KOSPI,0,0,0,0.0,26,322,12.0,7680.0,0.0,0.0,0.0,0.0,5.06
000230,일동홀딩스,KOSPI,1489,89,65,10.97,685,11540,12.0,6380.0,6.74,0.44,947.0,14623.0,0.0
